-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_4(4)         0.00%       0.000us         0.00%       0.000us       0.000us     251.456ms        83.75%     251.456ms      17.961ms           0 B           0 B           0 B           0 B            14            --  
                      nvjet_tst_384x8_64x4_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     120.008ms        39.97%     120.008ms     156.261us           0 B           0 B           0 B           0 B           768            --  
                   execute_context_1(6)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      83.798ms        27.91%      83.798ms      83.798ms           0 B           0 B           0 B           0 B             1            --  
              nvjet_tst_128x8_64x12_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      59.422ms        19.79%      59.422ms      77.372us           0 B           0 B           0 B           0 B           768            --  
                  execute_context_3(20)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      41.206ms        13.72%      41.206ms      41.206ms           0 B           0 B           0 B           0 B             1            --  
                 nvjet_tst_64x8_64x16_2x1_v_bz_bias_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      32.696ms        10.89%      32.696ms      42.573us           0 B           0 B           0 B           0 B           768            --  
                      nvjet_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      23.474ms         7.82%      23.474ms      30.566us           0 B           0 B           0 B           0 B           768            --  
                   execute_context_0(0)_generation_3(3)         0.00%       0.000us         0.00%       0.000us       0.000us      17.459ms         5.81%      17.459ms      17.459ms           0 B           0 B           0 B           0 B             1            --  
                                               aten::mm         2.06%      11.669ms         2.23%      12.643ms     743.706us      14.693ms         4.89%      15.552ms     914.828us           0 B           0 B      18.56 MB      18.56 MB            17        99.657  
                      nvjet_tst_512x8_64x3_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      14.678ms         4.89%      14.678ms     863.437us           0 B           0 B           0 B           0 B            17            --  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us       9.088ms         3.03%       9.088ms      11.137us           0 B           0 B           0 B           0 B           816            --  
                     nvjet_tst_384x24_64x4_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       7.597ms         2.53%       7.597ms     158.266us           0 B           0 B           0 B           0 B            48            --  
             nvjet_tst_128x24_64x11_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       3.763ms         1.25%       3.763ms      78.400us           0 B           0 B           0 B           0 B            48            --  
                                           aten::cumsum         0.07%     400.172us         0.14%     809.667us      47.627us       3.420ms         1.14%       3.431ms     201.827us           0 B           0 B           0 B           0 B            17            --  
void at::native::tensor_kernel_scan_innermost_dim<fl...         0.00%       0.000us         0.00%       0.000us       0.000us       3.415ms         1.14%       3.415ms     213.445us           0 B           0 B           0 B           0 B            16            --  
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_2         0.00%       0.000us         0.00%       0.000us       0.000us       3.142ms         1.05%       3.142ms       3.851us           0 B           0 B           0 B           0 B           816            --  
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0         0.00%       0.000us         0.00%       0.000us       0.000us       3.054ms         1.02%       3.054ms       3.742us           0 B           0 B           0 B           0 B           816            --  
void vllm::reshape_and_cache_flash_kernel<__nv_bfloa...         0.00%       0.000us         0.00%       0.000us       0.000us       2.264ms         0.75%       2.264ms       2.774us           0 B           0 B           0 B           0 B           816            --  
